China,80921,3161
Italy,12462,827
Iran,9000,354
South Korea,7755,60
France,2284,48
Spain,2277,54
Germany,1908,3
US,1281,36
Cruise Ship(Diamond Princess),696,7
Switzerland,652,4
Japan,639,15
Norway,598,0
Netherlands,503,5
Sweden,500,1
United Kingdom,459,8
Denmark,444,0
Belgium,314,3
Qatar,262,0
Austria,246,0
Bahrain,195,0
Singapore,178,0
Malaysia,149,0
Australia,128,3
Israel,109,0
Canada,108,1
Greece,99,1
Czechia,91,0
Iceland,85,0
United Arab Emirates,74,0
Kuwait,72,0
Iraq,71,7
India,62,1
San Marino,62,2
Lebanon,61,3
Egypt,60,1
Finland,59,0
Portugal,59,0
Thailand,59,1
Slovenia,57,0
Philippines,49,1
Taiwan,48,1
Romania,45,0
Ireland,43,1
Brazil,38,0
Vietnam,38,0
Indonesia,34,1
Poland,31,0
Georgia,24,0
Chile,23,0
Saudi Arabia,21,0
Algeria,20,0
Russia,20,0
Croatia,19,0
Pakistan,19,0
Argentina,19,1
Oman,18,0
Ecuador,17,0
Estonia,16,0
South Africa,13,0
Costa Rica,13,0
Hungary,13,0
Serbia,12,0
Albania,12,1
Azerbaijan,11,0
Brunei,11,0
Peru,11,0
Latvia,10,0
Slovakia,10,0
Belarus,9,0
Colombia,9,0
Maldives,8,0
Mexico,8,0
Panama,8,1
Tunisia,7,0
North Macedonia,7,0
Luxembourg,7,0
Bosnia and Herzegovina,7,0
Afghanistan,7,0
Bulgaria,7,1
Cyprus,6,0
Malta,6,0
Dominican Republic,5,0
French Guiana,5,0
New Zealand,5,0
Paraguay,5,0
Morocco,5,1
Senegal,4,0
Martinique,3,0
Moldova,3,0
Cambodia,3,0
Lithuania,3,0
Bangladesh,3,0
Bolivia,2,0
Burkina Faso,2,0
Cameroon,2,0
Honduras,2,0
Nigeria,2,0
Sri Lanka,2,0
Monaco,1,0
Ukraine,1,0
Turkey,1,0
Togo,1,0
Reunion,1,0
Nepal,1,0
Mongolia,1,0
Holy See,1,0
Liechtenstein,1,0
Jordan,1,0
Jamaica,1,0
Cote d'Ivoire,1,0
Congo (Kinshasa),1,0
Bhutan,1,0
Armenia,1,0
Andorra,1,0
